trade_id,entry_time,symbol,side,quantity,entry_price,exit_price,exit_time,sl,tp,pnl,status
183be424-2890-4e22-aa6f-4b38a151c20c,2022-03-18 00:58:00.000000,BTCUSD,BUY,1,40294.38,40894.22,2022-03-18 05:06:00.000000,38279.66099999999,42309.099,599.8400000000038,CLOSED
82c55df6-0f46-4a02-bda5-a112d4a89b9e,2022-03-18 07:16:00.000000,BTCUSD,BUY,1,40721.48,,,38685.406,42757.554000000004,,OPEN
22746665-1fa2-4ac7-80e4-2c9a07e76e60,2022-03-18 00:59:00.000000,BTCUSD,BUY,1,40353.71,40729.99,2022-03-18 08:21:00.000000,38336.0245,42371.3955,376.27999999999884,CLOSED
cb978a63-d7f5-46af-ae38-6236d961503d,2022-03-18 01:00:00.000000,BTCUSD,BUY,1,40345.22,40750.43,2022-03-18 08:23:00.000000,38327.959,42362.481,405.2099999999991,CLOSED
b5021d1c-7e87-498a-b5b8-6042f8525257,2022-03-18 08:52:00.000000,BTCUSD,BUY,1,40553.64,,,38525.958,42581.322,,OPEN
8f9dd5be-a9aa-46cd-acd5-f37120dd56c8,2022-03-18 10:51:00.000000,BTCUSD,BUY,1,40535.41,,,38508.639500000005,42562.1805,,OPEN
d02e4998-bd31-40dc-ab96-9e5ec80f9eda,2022-03-18 10:52:00.000000,BTCUSD,BUY,1,40519.08,,,38493.126,42545.03400000001,,OPEN
dc96404f-700a-4e98-8312-3be211f8fa3e,2022-03-18 10:53:00.000000,BTCUSD,BUY,1,40491.16,,,38466.602,42515.71800000001,,OPEN
5bfe7a38-e8cb-4ea2-8605-12d06fb0673a,2022-03-18 10:55:00.000000,BTCUSD,BUY,1,40446.57,,,38424.2415,42468.8985,,OPEN
5d23dcee-ffe4-49dd-9bc2-f0dd936f1099,2022-03-18 10:56:00.000000,BTCUSD,BUY,1,40390.73,,,38371.1935,42410.266500000005,,OPEN
aa978e5b-8bca-4b6b-9f0b-845014d2ebc9,2022-03-18 11:08:00.000000,BTCUSD,BUY,1,40300.0,,,38285.0,42315.0,,OPEN
8fecf410-a019-4762-a4c5-de166ff5b7c0,2022-03-18 11:30:00.000000,BTCUSD,BUY,1,40228.22,,,38216.809,42239.631,,OPEN
82c55df6-0f46-4a02-bda5-a112d4a89b9e,2022-03-18 07:16:00.000000,BTCUSD,BUY,1,40721.48,40512.08,2022-03-18 12:08:00.000000,38685.406,42757.554000000004,-209.40000000000146,CLOSED
b5021d1c-7e87-498a-b5b8-6042f8525257,2022-03-18 08:52:00.000000,BTCUSD,BUY,1,40553.64,40554.32,2022-03-18 12:39:00.000000,38525.958,42581.322,0.680000000000291,CLOSED
8f9dd5be-a9aa-46cd-acd5-f37120dd56c8,2022-03-18 10:51:00.000000,BTCUSD,BUY,1,40535.41,40559.95,2022-03-18 12:40:00.000000,38508.639500000005,42562.1805,24.539999999993597,CLOSED
d02e4998-bd31-40dc-ab96-9e5ec80f9eda,2022-03-18 10:52:00.000000,BTCUSD,BUY,1,40519.08,40600.47,2022-03-18 12:43:00.000000,38493.126,42545.03400000001,81.38999999999942,CLOSED
dc96404f-700a-4e98-8312-3be211f8fa3e,2022-03-18 10:53:00.000000,BTCUSD,BUY,1,40491.16,40661.13,2022-03-18 14:00:00.000000,38466.602,42515.71800000001,169.9699999999939,CLOSED
5bfe7a38-e8cb-4ea2-8605-12d06fb0673a,2022-03-18 10:55:00.000000,BTCUSD,BUY,1,40446.57,40663.88,2022-03-18 14:03:00.000000,38424.2415,42468.8985,217.30999999999767,CLOSED
5d23dcee-ffe4-49dd-9bc2-f0dd936f1099,2022-03-18 10:56:00.000000,BTCUSD,BUY,1,40390.73,40810.52,2022-03-18 14:10:00.000000,38371.1935,42410.266500000005,419.7899999999936,CLOSED
aa978e5b-8bca-4b6b-9f0b-845014d2ebc9,2022-03-18 11:08:00.000000,BTCUSD,BUY,1,40300.0,40831.41,2022-03-18 15:38:00.000000,38285.0,42315.0,531.4100000000035,CLOSED
8fecf410-a019-4762-a4c5-de166ff5b7c0,2022-03-18 11:30:00.000000,BTCUSD,BUY,1,40228.22,40826.32,2022-03-18 15:39:00.000000,38216.809,42239.631,598.0999999999985,CLOSED
2c7cd6ee-7086-4d5d-9f77-d111ebaf822d,2022-03-18 20:59:00.000000,BTCUSD,BUY,1,41756.79,,,39668.9505,43844.6295,,OPEN
1d634c7f-941b-472a-9d43-1682404933b6,2022-03-18 21:00:00.000000,BTCUSD,BUY,1,41774.36,,,39685.642,43863.078,,OPEN
b2a9c64a-c571-4e04-b2e6-c8b3ad48ee76,2022-03-18 21:01:00.000000,BTCUSD,BUY,1,41777.3,,,39688.435,43866.16500000001,,OPEN
c8a96593-cc52-457f-83ab-5906f50629e8,2022-03-18 21:02:00.000000,BTCUSD,BUY,1,41728.36,,,39641.941999999995,43814.778000000006,,OPEN
1dc596cf-0abf-4974-bb7e-1d61fb15a307,2022-03-18 21:03:00.000000,BTCUSD,BUY,1,41707.8,,,39622.41,43793.19,,OPEN
2c7cd6ee-7086-4d5d-9f77-d111ebaf822d,2022-03-18 20:59:00.000000,BTCUSD,BUY,1,41756.79,41879.95,2022-03-18 21:56:00.000000,39668.9505,43844.6295,123.15999999999622,CLOSED
1d634c7f-941b-472a-9d43-1682404933b6,2022-03-18 21:00:00.000000,BTCUSD,BUY,1,41774.36,41877.61,2022-03-18 23:23:00.000000,39685.642,43863.078,103.25,CLOSED
